Volume Fraction,Matrix Young's Modulus,Matrix Poisson Ratio,Fiber Young's Modulus,Fiber Poisson Ratio,Fiber Shape,Fiber Length,Composite Young's Modulus
0.05,5.35,0.354,15,0.49,1,1,5.5712
0.1,5.35,0.354,15,0.49,1,1,5.8084
0.15,5.35,0.354,15,0.49,1,1,6.0601
0.2,5.35,0.354,15,0.49,1,1,6.3259
0.25,5.35,0.354,15,0.49,1,1,6.6275
0.3,5.35,0.354,15,0.49,1,1,6.9745
0.35,5.35,0.354,15,0.49,1,1,7.3365
0.4,5.35,0.354,15,0.49,1,1,7.7691
0.45,5.35,0.354,15,0.49,1,1,8.22
0.5,5.35,0.354,15,0.49,1,1,8.7084
0.55,5.35,0.354,15,0.49,1,1,9.1544
0.6,5.35,0.354,15,0.49,1,1,9.632
0.65,5.35,0.354,15,0.49,1,1,10.1867
0.7,5.35,0.354,15,0.49,1,1,10.6939
0.05,5.35,0.354,15,0.49,1,2,5.6018
0.1,5.35,0.354,15,0.49,1,2,5.8701
0.15,5.35,0.354,15,0.49,1,2,6.1592
0.2,5.35,0.354,15,0.49,1,2,6.4724
0.25,5.35,0.354,15,0.49,1,2,6.8121
0.3,5.35,0.354,15,0.49,1,2,7.1822
0.35,5.35,0.354,15,0.49,1,2,7.5688
0.4,5.35,0.354,15,0.49,1,2,7.9739
0.45,5.35,0.354,15,0.49,1,2,8.4195
0.5,5.35,0.354,15,0.49,1,2,8.8885
0.55,5.35,0.354,15,0.49,1,2,9.3751
0.6,5.35,0.354,15,0.49,1,2,9.9149
0.65,5.35,0.354,15,0.49,1,2,10.4449
0.7,5.35,0.354,15,0.49,1,2,10.9471
0.05,5.35,0.354,15,0.49,2,1,5.6114
0.1,5.35,0.354,15,0.49,2,1,5.8761
0.15,5.35,0.354,15,0.49,2,1,6.1613
0.2,5.35,0.354,15,0.49,2,1,6.4763
0.25,5.35,0.354,15,0.49,2,1,6.7847
0.3,5.35,0.354,15,0.49,2,1,7.1973
0.35,5.35,0.354,15,0.49,2,1,7.5763
0.4,5.35,0.354,15,0.49,2,1,8.0031
0.45,5.35,0.354,15,0.49,2,1,8.4557
0.5,5.35,0.354,15,0.49,2,1,8.9316
0.55,5.35,0.354,15,0.49,2,1,9.378
0.6,5.35,0.354,15,0.49,2,1,9.8703
0.65,5.35,0.354,15,0.49,2,1,10.4015
0.7,5.35,0.354,15,0.49,2,1,10.9396
0.05,5.35,0.354,15,0.49,2,2,5.6202
0.1,5.35,0.354,15,0.49,2,2,5.9019
0.15,5.35,0.354,15,0.49,2,2,6.2073
0.2,5.35,0.354,15,0.49,2,2,6.5377
0.25,5.35,0.354,15,0.49,2,2,6.8907
0.3,5.35,0.354,15,0.49,2,2,7.2566
0.35,5.35,0.354,15,0.49,2,2,7.6508
0.4,5.35,0.354,15,0.49,2,2,8.0634
0.45,5.35,0.354,15,0.49,2,2,8.5023
0.5,5.35,0.354,15,0.49,2,2,8.9648
0.55,5.35,0.354,15,0.49,2,2,9.4428
0.6,5.35,0.354,15,0.49,2,2,9.9533
0.65,5.35,0.354,15,0.49,2,2,10.506
0.7,5.35,0.354,15,0.49,2,2,11.0709
0.05,5.35,0.354,15,0.49,3,1,5.6142
0.1,5.35,0.354,15,0.49,3,1,5.8973
0.15,5.35,0.354,15,0.49,3,1,6.1941
0.2,5.35,0.354,15,0.49,3,1,6.5111
0.25,5.35,0.354,15,0.49,3,1,6.8383
0.3,5.35,0.354,15,0.49,3,1,7.1754
0.35,5.35,0.354,15,0.49,3,1,7.5926
0.4,5.35,0.354,15,0.49,3,1,7.9829
0.45,5.35,0.354,15,0.49,3,1,8.3767
0.5,5.35,0.354,15,0.49,3,1,8.814
0.55,5.35,0.354,15,0.49,3,1,9.2934
0.6,5.35,0.354,15,0.49,3,1,9.7855
0.65,5.35,0.354,15,0.49,3,1,10.3101
0.7,5.35,0.354,15,0.49,3,1,10.8616
0.05,5.35,0.354,15,0.49,3,2,5.6358
0.1,5.35,0.354,15,0.49,3,2,5.938
0.15,5.35,0.354,15,0.49,3,2,6.2374
0.2,5.35,0.354,15,0.49,3,2,6.5871
0.25,5.35,0.354,15,0.49,3,2,6.9377
0.3,5.35,0.354,15,0.49,3,2,7.2764
0.35,5.35,0.354,15,0.49,3,2,7.6884
0.4,5.35,0.354,15,0.49,3,2,8.1039
0.45,5.35,0.354,15,0.49,3,2,8.5323
0.5,5.35,0.354,15,0.49,3,2,8.9922
0.55,5.35,0.354,15,0.49,3,2,9.4669
0.6,5.35,0.354,15,0.49,3,2,9.9932
0.65,5.35,0.354,15,0.49,3,2,10.5807
0.7,5.35,0.354,15,0.49,3,2,11.1412
0.05,5.35,0.354,232,0.279,1,1,15.5294
0.1,5.35,0.354,232,0.279,1,1,25.7793
0.15,5.35,0.354,232,0.279,1,1,39.2924
0.2,5.35,0.354,232,0.279,1,1,50.539
0.25,5.35,0.354,232,0.279,1,1,61.9783
0.3,5.35,0.354,232,0.279,1,1,73.1801
0.35,5.35,0.354,232,0.279,1,1,84.7188
0.4,5.35,0.354,232,0.279,1,1,96.0889
0.45,5.35,0.354,232,0.279,1,1,107.4543
0.5,5.35,0.354,232,0.279,1,1,118.7007
0.55,5.35,0.354,232,0.279,1,1,130.1151
0.6,5.35,0.354,232,0.279,1,1,141.1986
0.65,5.35,0.354,232,0.279,1,1,152.7554
0.7,5.35,0.354,232,0.279,1,1,163.1284
0.05,5.35,0.354,232,0.279,1,2,12.151
0.1,5.35,0.354,232,0.279,1,2,18.3386
0.15,5.35,0.354,232,0.279,1,2,24.3882
0.2,5.35,0.354,232,0.279,1,2,30.4592
0.25,5.35,0.354,232,0.279,1,2,36.5034
0.3,5.35,0.354,232,0.279,1,2,42.6362
0.35,5.35,0.354,232,0.279,1,2,48.4996
0.4,5.35,0.354,232,0.279,1,2,54.2035
0.45,5.35,0.354,232,0.279,1,2,59.9812
0.5,5.35,0.354,232,0.279,1,2,65.9093
0.55,5.35,0.354,232,0.279,1,2,71.6607
0.6,5.35,0.354,232,0.279,1,2,77.4523
0.65,5.35,0.354,232,0.279,1,2,82.7417
0.7,5.35,0.354,232,0.279,1,2,89.6433
0.05,5.35,0.354,232,0.279,2,1,16.6541
0.1,5.35,0.354,232,0.279,2,1,28.0444
0.15,5.35,0.354,232,0.279,2,1,39.3193
0.2,5.35,0.354,232,0.279,2,1,50.8476
0.25,5.35,0.354,232,0.279,2,1,61.9765
0.3,5.35,0.354,232,0.279,2,1,73.275
0.35,5.35,0.354,232,0.279,2,1,84.6593
0.4,5.35,0.354,232,0.279,2,1,96.1198
0.45,5.35,0.354,232,0.279,2,1,107.4996
0.5,5.35,0.354,232,0.279,2,1,118.6518
0.55,5.35,0.354,232,0.279,2,1,130.146
0.6,5.35,0.354,232,0.279,2,1,141.4566
0.65,5.35,0.354,232,0.279,2,1,152.7456
0.7,5.35,0.354,232,0.279,2,1,164.2184
0.05,5.35,0.354,232,0.279,2,2,12.6592
0.1,5.35,0.354,232,0.279,2,2,18.771
0.15,5.35,0.354,232,0.279,2,2,24.9768
0.2,5.35,0.354,232,0.279,2,2,31.132
0.25,5.35,0.354,232,0.279,2,2,37.4425
0.3,5.35,0.354,232,0.279,2,2,43.0109
0.35,5.35,0.354,232,0.279,2,2,48.8986
0.4,5.35,0.354,232,0.279,2,2,54.8865
0.45,5.35,0.354,232,0.279,2,2,60.788
0.5,5.35,0.354,232,0.279,2,2,66.6347
0.55,5.35,0.354,232,0.279,2,2,72.1429
0.6,5.35,0.354,232,0.279,2,2,77.815
0.65,5.35,0.354,232,0.279,2,2,83.7155
0.7,5.35,0.354,232,0.279,2,2,89.1325
0.05,5.35,0.354,232,0.279,3,1,16.0559
0.1,5.35,0.354,232,0.279,3,1,28.095
0.15,5.35,0.354,232,0.279,3,1,39.4129
0.2,5.35,0.354,232,0.279,3,1,50.8257
0.25,5.35,0.354,232,0.279,3,1,61.9607
0.3,5.35,0.354,232,0.279,3,1,73.32
