Volume Fraction,Matrix Young Modulus,Matrix Poisson Ratio,Fiber Young Modulus,Fiber Poisson Ratio,Fiber Shape,Composite Young Modulus
0.3,3450000000,0.35,73100000000,0.22,1,6367.8310
0.35,3450000000,0.35,73100000000,0.22,1,7100.7135
0.4,3450000000,0.35,73100000000,0.22,1,8222.9389
0.45,3450000000,0.35,73100000000,0.22,1,9780.0317
0.5,3450000000,0.35,73100000000,0.22,1,11530.7905
0.55,3450000000,0.35,73100000000,0.22,1,12897.6001
0.6,3450000000,0.35,73100000000,0.22,1,14914.3041
0.65,3450000000,0.35,73100000000,0.22,1,17677.9179
0.7,3450000000,0.35,73100000000,0.22,1,20729.8639
0.75,3450000000,0.35,73100000000,0.22,1,22091.2262
0.30,3450000000,0.35,73100000000,0.22,2,7199.6001
0.35,3450000000,0.35,73100000000,0.22,2,8084.6075
0.40,3450000000,0.35,73100000000,0.22,2,9325.4261
0.45,3450000000,0.35,73100000000,0.22,2,10912.6969
0.50,3450000000,0.35,73100000000,0.22,2,12956.6835
0.55,3450000000,0.35,73100000000,0.22,2,14222.3855
0.60,3450000000,0.35,73100000000,0.22,2,16099.6760
0.65,3450000000,0.35,73100000000,0.22,2,18402.3201
0.70,3450000000,0.35,73100000000,0.22,2,21082.8277
0.75,3450000000,0.35,73100000000,0.22,2,24476.2411
0.30,3450000000,0.35,73100000000,0.22,3,7030.0389
0.35,3450000000,0.35,73100000000,0.22,3,8031.7127
0.40,3450000000,0.35,73100000000,0.22,3,9143.1325
0.45,3450000000,0.35,73100000000,0.22,3,10912.6969
0.50,3450000000,0.35,73100000000,0.22,3,11620.5801
0.55,3450000000,0.35,73100000000,0.22,3,14222.3855
0.60,3450000000,0.35,73100000000,0.22,3,15758.6581
0.65,3450000000,0.35,73100000000,0.22,3,18482.8651
0.70,3450000000,0.35,73100000000,0.22,3,22078.4807
0.75,3450000000,0.35,73100000000,0.22,3,29749.0973
