Volume Fraction,Matrix Young's Modulus,Matrix Poisson Ratio,Fiber Young's Modulus,Fiber Poisson Ratio,Fiber Shape,Fiber Length,Longitudinal Young's Modulus
0.05,5.35,0.354,232,0.279,1,1,15.5294
0.1,5.35,0.354,232,0.279,1,1,25.7793
0.15,5.35,0.354,232,0.279,1,1,39.2924
0.2,5.35,0.354,232,0.279,1,1,50.539
0.25,5.35,0.354,232,0.279,1,1,61.9783
0.3,5.35,0.354,232,0.279,1,1,73.1801
0.35,5.35,0.354,232,0.279,1,1,84.7188
0.4,5.35,0.354,232,0.279,1,1,96.0889
0.45,5.35,0.354,232,0.279,1,1,107.4543
0.5,5.35,0.354,232,0.279,1,1,118.7007
0.55,5.35,0.354,232,0.279,1,1,130.1151
0.6,5.35,0.354,232,0.279,1,1,141.1986
0.65,5.35,0.354,232,0.279,1,1,152.7554
0.7,5.35,0.354,232,0.279,1,1,163.1284
0.05,5.35,0.354,232,0.279,1,2,12.151
0.1,5.35,0.354,232,0.279,1,2,18.3386
0.15,5.35,0.354,232,0.279,1,2,24.3882
0.2,5.35,0.354,232,0.279,1,2,30.4592
0.25,5.35,0.354,232,0.279,1,2,36.5034
0.3,5.35,0.354,232,0.279,1,2,42.6362
0.35,5.35,0.354,232,0.279,1,2,48.4996
0.4,5.35,0.354,232,0.279,1,2,54.2035
0.45,5.35,0.354,232,0.279,1,2,59.9812
0.5,5.35,0.354,232,0.279,1,2,65.9093
0.55,5.35,0.354,232,0.279,1,2,71.6607
0.6,5.35,0.354,232,0.279,1,2,77.4523
0.65,5.35,0.354,232,0.279,1,2,82.7417
0.7,5.35,0.354,232,0.279,1,2,89.6433
0.05,5.35,0.354,232,0.279,2,1,16.6541
0.1,5.35,0.354,232,0.279,2,1,28.0444
0.15,5.35,0.354,232,0.279,2,1,39.3193
0.2,5.35,0.354,232,0.279,2,1,50.8476
0.25,5.35,0.354,232,0.279,2,1,61.9765
0.3,5.35,0.354,232,0.279,2,1,73.275
0.35,5.35,0.354,232,0.279,2,1,84.6593
0.4,5.35,0.354,232,0.279,2,1,96.1198
0.45,5.35,0.354,232,0.279,2,1,107.4996
0.5,5.35,0.354,232,0.279,2,1,118.6518
0.55,5.35,0.354,232,0.279,2,1,130.146
0.6,5.35,0.354,232,0.279,2,1,141.4566
0.65,5.35,0.354,232,0.279,2,1,152.7456
0.7,5.35,0.354,232,0.279,2,1,164.2184
0.05,5.35,0.354,232,0.279,2,2,12.6592
0.1,5.35,0.354,232,0.279,2,2,18.771
0.15,5.35,0.354,232,0.279,2,2,24.9768
0.2,5.35,0.354,232,0.279,2,2,31.132
0.25,5.35,0.354,232,0.279,2,2,37.4425
0.3,5.35,0.354,232,0.279,2,2,43.0109
0.35,5.35,0.354,232,0.279,2,2,48.8986
0.4,5.35,0.354,232,0.279,2,2,54.8865
0.45,5.35,0.354,232,0.279,2,2,60.788
0.5,5.35,0.354,232,0.279,2,2,66.6347
0.55,5.35,0.354,232,0.279,2,2,72.1429
0.6,5.35,0.354,232,0.279,2,2,77.815
0.65,5.35,0.354,232,0.279,2,2,83.7155
0.7,5.35,0.354,232,0.279,2,2,89.1325
0.05,5.35,0.354,232,0.279,3,1,16.0559
0.1,5.35,0.354,232,0.279,3,1,28.095
0.15,5.35,0.354,232,0.279,3,1,39.4129
0.2,5.35,0.354,232,0.279,3,1,50.8257
0.25,5.35,0.354,232,0.279,3,1,61.9607
0.3,5.35,0.354,232,0.279,3,1,73.32
0.35,5.35,0.354,232,0.279,3,1,84.4253
0.4,5.35,0.354,232,0.279,3,1,95.9699
0.45,5.35,0.354,232,0.279,3,1,107.4898
0.5,5.35,0.354,232,0.279,3,1,118.7023
0.55,5.35,0.354,232,0.279,3,1,130.2001
0.6,5.35,0.354,232,0.279,3,1,141.3183
0.65,5.35,0.354,232,0.279,3,1,152.7491
0.7,5.35,0.354,232,0.279,3,1,163.9481
0.05,5.35,0.354,232,0.279,3,2,12.4512
0.1,5.35,0.354,232,0.279,3,2,18.5974
0.15,5.35,0.354,232,0.279,3,2,24.268
0.2,5.35,0.354,232,0.279,3,2,30.5759
0.25,5.35,0.354,232,0.279,3,2,36.6742
0.3,5.35,0.354,232,0.279,3,2,42.0882
0.35,5.35,0.354,232,0.279,3,2,48.1617
0.4,5.35,0.354,232,0.279,3,2,54.2791
0.45,5.35,0.354,232,0.279,3,2,60.0999
0.5,5.35,0.354,232,0.279,3,2,66.0033
0.55,5.35,0.354,232,0.279,3,2,71.6644
0.6,5.35,0.354,232,0.279,3,2,77.4869
0.65,5.35,0.354,232,0.279,3,2,83.1351
0.7,5.35,0.354,232,0.279,3,2,88.2026
