Volume Fraction,Fiber Shape,Fiber Length,Longitudinal Young's Modulus
0.58411026,3.0,2.0,29.294287
0.54614174,1.0,1.0,29.271967
0.2612125,1.0,1.0,19.651516
0.63395137,1.0,1.0,33.465996
0.19352889,1.0,2.0,17.499998
0.12574165,3.0,2.0,14.5745325
0.6315589,1.0,1.0,33.465996
0.23417807,3.0,2.0,19.651516
0.6763547,2.0,1.0,36.085163
0.64661056,2.0,2.0,36.008312
0.44812727,1.0,1.0,25.300566
0.5910259,3.0,2.0,29.294287
0.6978373,2.0,2.0,45.131943
0.5819321,1.0,1.0,29.294287
0.5946735,1.0,1.0,33.17651
0.27224487,2.0,1.0,20.158564
0.4604801,1.0,2.0,26.437496
0.18454541,2.0,1.0,17.499998
0.6777174,1.0,2.0,37.4427
0.17551906,1.0,1.0,17.499998
0.31726867,1.0,1.0,21.322832
0.08463081,1.0,2.0,10.864187
0.1378159,3.0,1.0,14.5745325
0.29438183,2.0,2.0,21.322832
0.20335038,2.0,1.0,17.499998
0.13737261,2.0,2.0,14.5745325
0.2633671,1.0,1.0,19.651516
0.07101932,1.0,1.0,9.933768
0.19749081,1.0,1.0,17.499998
0.6773534,1.0,1.0,37.4427
0.55878973,3.0,1.0,29.271967
0.5568069,1.0,1.0,29.271967
0.3798034,3.0,1.0,22.615854
0.47651884,3.0,2.0,26.626593
0.17193098,1.0,1.0,17.499998
0.22315675,1.0,1.0,18.63372
0.6827045,3.0,2.0,39.838528
0.09752101,1.0,1.0,11.961511
0.6610388,2.0,1.0,36.008312
0.0792508,1.0,1.0,10.864187
0.69059944,1.0,2.0,41.641685
0.3604399,1.0,1.0,22.205038
0.19224273,1.0,1.0,17.499998
0.64347714,2.0,2.0,33.465996
0.05330128,3.0,2.0,6.802192
0.19993968,3.0,2.0,17.499998
0.5372764,1.0,1.0,28.998066
0.29510465,3.0,2.0,21.322832
0.08218154,1.0,1.0,10.864187
0.17823474,1.0,2.0,17.499998
0.57038987,2.0,2.0,29.294287
0.3197515,1.0,2.0,21.322832
0.66937,1.0,2.0,36.085163
0.118716694,3.0,2.0,12.531437
0.5786228,1.0,1.0,29.294287
0.1975404,2.0,2.0,17.499998
0.69228613,2.0,2.0,42.799847
0.67164534,1.0,2.0,36.085163
0.49952823,1.0,2.0,27.205091
0.47776,1.0,1.0,26.626593
0.6903131,2.0,1.0,41.641685
0.13679947,3.0,2.0,14.5745325
0.18023519,3.0,1.0,17.499998
0.34668404,2.0,2.0,21.322832
0.56021047,1.0,1.0,29.294287
0.47334695,1.0,2.0,26.626593
0.68737,1.0,2.0,41.641685
0.081593126,1.0,2.0,10.864187
0.5573222,1.0,2.0,29.271967
0.1669189,1.0,1.0,15.7176
0.3382009,2.0,1.0,21.322832
0.20068195,1.0,1.0,17.499998
0.6836974,3.0,1.0,39.838528
0.39727846,1.0,1.0,24.245125
0.5604335,3.0,1.0,29.294287
0.2875286,1.0,1.0,21.322832
0.24032088,1.0,1.0,19.651516
0.3344909,3.0,2.0,21.322832
0.08955571,1.0,1.0,11.961511
0.11062517,2.0,1.0,12.531437
0.12033034,1.0,1.0,14.5745325
0.3084002,1.0,2.0,21.322832
0.5832534,1.0,2.0,29.294287
0.59101725,1.0,1.0,29.294287
0.66015625,2.0,1.0,36.008312
0.6276808,1.0,1.0,33.465996
0.51371175,1.0,1.0,27.205091
0.21721287,2.0,2.0,17.673641
0.06543207,1.0,2.0,9.455333
0.6463995,1.0,1.0,36.008312
0.61360586,1.0,2.0,33.17651
0.6008968,1.0,2.0,33.17651
0.4539405,1.0,2.0,25.300566
0.14224018,2.0,1.0,14.843857
