Volume Fraction,Matrix Young's Modulus,Matrix Poisson Ratio,Fiber Young's Modulus,Fiber Poisson Ratio,Fiber Shape,Fiber Length,Composite Young's Modulus
0.05,3.45,0.35,73.1,0.22,1,1,3.8988
0.1,3.45,0.35,73.1,0.22,1,1,4.2833
0.15,3.45,0.35,73.1,0.22,1,1,4.6844
0.2,3.45,0.35,73.1,0.22,1,1,5.1240
0.25,3.45,0.35,73.1,0.22,1,1,5.6882
0.3,3.45,0.35,73.1,0.22,1,1,6.3678
0.35,3.45,0.35,73.1,0.22,1,1,7.1007
0.4,3.45,0.35,73.1,0.22,1,1,8.2229
0.45,3.45,0.35,73.1,0.22,1,1,9.7800
0.5,3.45,0.35,73.1,0.22,1,1,11.5308
0.55,3.45,0.35,73.1,0.22,1,1,12.8976
0.6,3.45,0.35,73.1,0.22,1,1,14.9143
0.65,3.45,0.35,73.1,0.22,1,1,17.6779
0.7,3.45,0.35,73.1,0.22,1,1,20.7299
0.75,3.45,0.35,73.1,0.22,1,1,24.0912
0.05,3.45,0.35,73.1,0.22,1,2,3.9998
0.1,3.45,0.35,73.1,0.22,1,2,4.3561
0.15,3.45,0.35,73.1,0.22,1,2,4.8345
0.2,3.45,0.35,73.1,0.22,1,2,5.3901
0.25,3.45,0.35,73.1,0.22,1,2,6.0362
0.3,3.45,0.35,73.1,0.22,1,2,6.8201
0.35,3.45,0.35,73.1,0.22,1,2,7.7270
0.4,3.45,0.35,73.1,0.22,1,2,8.7901
0.45,3.45,0.35,73.1,0.22,1,2,10.1248
0.5,3.45,0.35,73.1,0.22,1,2,11.7505
0.55,3.45,0.35,73.1,0.22,1,2,13.7261
0.6,3.45,0.35,73.1,0.22,1,2,16.4276
0.65,3.45,0.35,73.1,0.22,1,2,19.8233
0.7,3.45,0.35,73.1,0.22,1,2,24.1334
0.05,3.45,0.35,73.1,0.22,2,1,3.9883
0.1,3.45,0.35,73.1,0.22,2,1,4.4191
0.15,3.45,0.35,73.1,0.22,2,1,4.8872
0.2,3.45,0.35,73.1,0.22,2,1,5.4423
0.25,3.45,0.35,73.1,0.22,2,1,5.9803
0.3,3.45,0.35,73.1,0.22,2,1,7.1996
0.35,3.45,0.35,73.1,0.22,2,1,8.0846
0.4,3.45,0.35,73.1,0.22,2,1,9.3254
0.45,3.45,0.35,73.1,0.22,2,1,10.9127
0.5,3.45,0.35,73.1,0.22,2,1,12.9567
0.55,3.45,0.35,73.1,0.22,2,1,14.2224
0.6,3.45,0.35,73.1,0.22,2,1,16.0997
0.65,3.45,0.35,73.1,0.22,2,1,18.4023
0.7,3.45,0.35,73.1,0.22,2,1,21.0828
0.75,3.45,0.35,73.1,0.22,2,1,24.4762
0.05,3.45,0.35,73.1,0.22,2,2,4.0087
0.1,3.45,0.35,73.1,0.22,2,2,4.5193
0.15,3.45,0.35,73.1,0.22,2,2,5.1113
0.2,3.45,0.35,73.1,0.22,2,2,5.7945
0.25,3.45,0.35,73.1,0.22,2,2,6.5943
0.3,3.45,0.35,73.1,0.22,2,2,7.4500
0.35,3.45,0.35,73.1,0.22,2,2,8.4847
0.4,3.45,0.35,73.1,0.22,2,2,9.6692
0.45,3.45,0.35,73.1,0.22,2,2,11.0383
0.5,3.45,0.35,73.1,0.22,2,2,12.6198
0.55,3.45,0.35,73.1,0.22,2,2,14.4086
0.6,3.45,0.35,73.1,0.22,2,2,16.5764
0.65,3.45,0.35,73.1,0.22,2,2,19.2931
0.7,3.45,0.35,73.1,0.22,2,2,22.4704
0.75,3.45,0.35,73.1,0.22,2,2,26.3743
0.1,3.45,0.35,73.1,0.22,3,1,4.4959
0.15,3.45,0.35,73.1,0.22,3,1,5.0319
0.2,3.45,0.35,73.1,0.22,3,1,5.6377
0.25,3.45,0.35,73.1,0.22,3,1,6.3136
0.3,3.45,0.35,73.1,0.22,3,1,7.0300
0.35,3.45,0.35,73.1,0.22,3,1,8.0317
0.4,3.45,0.35,73.1,0.22,3,1,9.1431
0.45,3.45,0.35,73.1,0.22,3,1,10.9127
0.5,3.45,0.35,73.1,0.22,3,1,11.6206
0.55,3.45,0.35,73.1,0.22,3,1,14.2224
0.6,3.45,0.35,73.1,0.22,3,1,15.7587
0.65,3.45,0.35,73.1,0.22,3,1,18.4829
0.7,3.45,0.35,73.1,0.22,3,1,22.0785
0.1,3.45,0.35,73.1,0.22,3,2,4.5457
0.15,3.45,0.35,73.1,0.22,3,2,5.1068
0.2,3.45,0.35,73.1,0.22,3,2,5.7870
0.25,3.45,0.35,73.1,0.22,3,2,6.5360
0.3,3.45,0.35,73.1,0.22,3,2,7.3372
0.35,3.45,0.35,73.1,0.22,3,2,8.3273
0.4,3.45,0.35,73.1,0.22,3,2,9.4666
0.45,3.45,0.35,73.1,0.22,3,2,10.7660
0.5,3.45,0.35,73.1,0.22,3,2,12.3412
0.55,3.45,0.35,73.1,0.22,3,2,14.2172
0.6,3.45,0.35,73.1,0.22,3,2,16.7114
0.65,3.45,0.35,73.1,0.22,3,2,20.3063
0.7,3.45,0.35,73.1,0.22,3,2,24.9093
