Volume Fraction,Matrix Young's Modulus,Matrix Poisson Ratio,Fiber Young's Modulus,Fiber Poisson Ratio,Fiber Shape,Fiber Length,Composite Young's Modulus
0.05,5.35,0.354,15.00,0.49,1,1,5.5712
0.1,5.35,0.354,15.00,0.49,1,1,5.8084
0.15,5.35,0.354,15.00,0.49,1,1,6.0601
0.2,5.35,0.354,15.00,0.49,1,1,6.3259
0.25,5.35,0.354,15.00,0.49,1,1,6.6275
0.30,5.35,0.354,15.00,0.49,1,1,6.9745
0.35,5.35,0.354,15.00,0.49,1,1,7.3365
0.40,5.35,0.354,15.00,0.49,1,1,7.7691
0.45,5.35,0.354,15.00,0.49,1,1,8.2200
0.50,5.35,0.354,15.00,0.49,1,1,8.7084
0.55,5.35,0.354,15.00,0.49,1,1,9.1544
0.60,5.35,0.354,15.00,0.49,1,1,9.6320
0.65,5.35,0.354,15.00,0.49,1,1,10.1867
0.70,5.35,0.354,15.00,0.49,1,1,10.6939
0.05,5.35,0.354,15.00,0.49,1,2,5.6018
0.1,5.35,0.354,15.00,0.49,1,2,5.8701
0.15,5.35,0.354,15.00,0.49,1,2,6.1592
0.2,5.35,0.354,15.00,0.49,1,2,6.4724
0.25,5.35,0.354,15.00,0.49,1,2,6.8121
0.30,5.35,0.354,15.00,0.49,1,2,7.1822
0.35,5.35,0.354,15.00,0.49,1,2,7.5688
0.40,5.35,0.354,15.00,0.49,1,2,7.9739
0.45,5.35,0.354,15.00,0.49,1,2,8.4195
0.50,5.35,0.354,15.00,0.49,1,2,8.8885
0.55,5.35,0.354,15.00,0.49,1,2,9.3751
0.60,5.35,0.354,15.00,0.49,1,2,9.9149
0.65,5.35,0.354,15.00,0.49,1,2,10.4449
0.70,5.35,0.354,15.00,0.49,1,2,10.9471
0.05,5.35,0.354,15.00,0.49,2,1,5.6114
0.1,5.35,0.354,15.00,0.49,2,1,5.8761
0.15,5.35,0.354,15.00,0.49,2,1,6.1613
0.2,5.35,0.354,15.00,0.49,2,1,6.4763
0.25,5.35,0.354,15.00,0.49,2,1,6.7847
0.30,5.35,0.354,15.00,0.49,2,1,7.1973
0.35,5.35,0.354,15.00,0.49,2,1,7.5763
0.40,5.35,0.354,15.00,0.49,2,1,8.0031
0.45,5.35,0.354,15.00,0.49,2,1,8.4557
0.50,5.35,0.354,15.00,0.49,2,1,8.9316
0.55,5.35,0.354,15.00,0.49,2,1,9.3780
0.60,5.35,0.354,15.00,0.49,2,1,9.8703
0.65,5.35,0.354,15.00,0.49,2,1,10.4015
0.70,5.35,0.354,15.00,0.49,2,1,10.9396
0.05,5.35,0.354,15.00,0.49,2,2,5.6202
0.1,5.35,0.354,15.00,0.49,2,2,5.9019
0.15,5.35,0.354,15.00,0.49,2,2,6.2073
0.2,5.35,0.354,15.00,0.49,2,2,6.5377
0.25,5.35,0.354,15.00,0.49,2,2,6.8907
0.30,5.35,0.354,15.00,0.49,2,2,7.2566
0.35,5.35,0.354,15.00,0.49,2,2,7.6508
0.40,5.35,0.354,15.00,0.49,2,2,8.0634
0.45,5.35,0.354,15.00,0.49,2,2,8.5023
0.50,5.35,0.354,15.00,0.49,2,2,8.9648
0.55,5.35,0.354,15.00,0.49,2,2,9.4428
0.60,5.35,0.354,15.00,0.49,2,2,9.9533
0.65,5.35,0.354,15.00,0.49,2,2,10.5060
0.70,5.35,0.354,15.00,0.49,2,2,11.0709
0.05,5.35,0.354,15.00,0.49,3,1,5.6142
0.1,5.35,0.354,15.00,0.49,3,1,5.8973
0.15,5.35,0.354,15.00,0.49,3,1,6.1941
0.2,5.35,0.354,15.00,0.49,3,1,6.5111
0.25,5.35,0.354,15.00,0.49,3,1,6.8383
0.30,5.35,0.354,15.00,0.49,3,1,7.1754
0.35,5.35,0.354,15.00,0.49,3,1,7.5926
0.40,5.35,0.354,15.00,0.49,3,1,7.9829
0.45,5.35,0.354,15.00,0.49,3,1,8.3767
0.50,5.35,0.354,15.00,0.49,3,1,8.8140
0.55,5.35,0.354,15.00,0.49,3,1,9.2934
0.60,5.35,0.354,15.00,0.49,3,1,9.7855
0.65,5.35,0.354,15.00,0.49,3,1,10.3101
0.70,5.35,0.354,15.00,0.49,3,1,10.8616
0.05,5.35,0.354,15.00,0.49,3,2,5.6358
0.1,5.35,0.354,15.00,0.49,3,2,5.9380
0.15,5.35,0.354,15.00,0.49,3,2,6.2374
0.2,5.35,0.354,15.00,0.49,3,2,6.5871
0.25,5.35,0.354,15.00,0.49,3,2,6.9377
0.30,5.35,0.354,15.00,0.49,3,2,7.2764
0.35,5.35,0.354,15.00,0.49,3,2,7.6884
0.40,5.35,0.354,15.00,0.49,3,2,8.1039
0.45,5.35,0.354,15.00,0.49,3,2,8.5323
0.50,5.35,0.354,15.00,0.49,3,2,8.9922
0.55,5.35,0.354,15.00,0.49,3,2,9.4669
0.60,5.35,0.354,15.00,0.49,3,2,9.9932
0.65,5.35,0.354,15.00,0.49,3,2,10.5807
0.70,5.35,0.354,15.00,0.49,3,2,11.1412
