Volume Fraction,Fiber Shape,Fiber Length,Composite Young's Modulus
0.42549765,2.0,1.0,9.408597
0.5554435,3.0,2.0,10.213384
0.16831933,3.0,1.0,7.015823
0.6359146,2.0,2.0,10.769556
0.6440147,1.0,1.0,10.764367
0.31197244,1.0,1.0,8.383409
0.42365983,1.0,1.0,9.311734
0.08844541,3.0,2.0,6.1761975
0.19880643,2.0,2.0,7.4704223
0.39989167,3.0,1.0,9.292068
0.44711718,1.0,1.0,9.439428
0.078244366,3.0,2.0,5.9957066
0.66031444,3.0,1.0,10.880447
0.573386,1.0,2.0,10.410537
0.6524236,1.0,2.0,10.837613
0.18134736,1.0,2.0,7.2266445
0.113973826,1.0,2.0,6.4791145
0.6283043,2.0,2.0,10.693218
0.21281812,2.0,1.0,7.4956
0.16801605,1.0,2.0,7.072182
0.50134027,2.0,2.0,9.965977
0.59753054,1.0,1.0,10.464855
0.4906421,1.0,2.0,9.792031
0.22951256,2.0,1.0,7.6546674
0.6445665,2.0,1.0,10.789089
0.59425,3.0,1.0,10.469775
0.100976996,1.0,2.0,6.164198
0.6798605,2.0,2.0,11.027401
0.15787323,2.0,2.0,6.9400973
0.24472335,1.0,1.0,7.712889
0.5348574,2.0,2.0,10.072528
0.3817435,1.0,2.0,8.988669
0.08420505,1.0,1.0,6.0425987
0.31778404,3.0,2.0,8.403968
0.5740926,3.0,2.0,10.338927
0.3665697,3.0,1.0,9.0693245
0.66279495,1.0,2.0,10.88833
0.26158345,1.0,1.0,7.834813
0.33995798,3.0,1.0,8.662357
0.65575874,2.0,1.0,10.859184
0.26868236,1.0,1.0,7.997357
0.5690653,2.0,1.0,10.317061
0.06747023,1.0,1.0,5.7959156
0.19731471,3.0,2.0,7.431457
0.23452722,1.0,2.0,7.7740064
0.64065796,2.0,2.0,10.761103
0.07427463,1.0,2.0,5.9300547
0.65749145,2.0,2.0,10.8371315
0.40236565,2.0,2.0,9.090291
0.663582,1.0,2.0,10.908245
0.29754573,3.0,2.0,8.386381
0.6617564,3.0,1.0,10.89877
0.22211334,3.0,2.0,7.680566
0.26188606,3.0,2.0,7.9441166
0.2710637,2.0,2.0,7.9107556
0.06517011,3.0,2.0,5.8336096
0.22893088,1.0,1.0,7.52075
0.25248113,1.0,2.0,7.8821497
0.18382809,1.0,1.0,7.177704
0.6570986,1.0,2.0,10.858161
0.67290306,2.0,1.0,10.94938
0.3961736,1.0,2.0,9.042296
0.08940407,3.0,1.0,6.1479506
0.3815727,2.0,1.0,8.979199
0.12159113,1.0,2.0,6.500285
0.57704663,2.0,2.0,10.393593
0.67279834,1.0,1.0,10.9894905
0.4602256,3.0,1.0,9.634236
0.54068404,1.0,1.0,10.202601
0.69320315,3.0,2.0,11.093753
0.065120585,3.0,1.0,5.811232
0.4468266,1.0,2.0,9.54639
0.508888,1.0,1.0,9.963315
0.602473,3.0,1.0,10.477732
0.6139682,3.0,1.0,10.588591
0.5452026,3.0,1.0,10.166272
